Item ID art top-10 results
User ID 71d0d37706f5407fbc235409639910fe	score 8.523189045845493
User ID b3bc740ed50849f1bb58afc0860106d4	score 8.020344866822343
User ID d8676c764b0f4f4fab4f2df45b950daf	score 7.565795121492811
User ID 35b40b1bcefd4d9e86e11a97603a84e5	score 7.435213860337858
User ID aa53710fec054a8fb2e6eab6c605c571	score 7.2153360594995934
User ID 690e7e01008b472d839fb2ceb1823860	score 7.190124754453457
User ID de99f2c4d1314fc88bd2f972c6b8edfa	score 7.158081312466731
User ID 0eefd053f1a34cf3a6bb8e7180c19ae3	score 7.129001164833873
User ID b1e7bc0aaf204a498954922e51bbd95e	score 7.023143168010835
User ID 66bfdf34354348d59bbe92aff28ca385	score 6.976530239202809

Item ID career top-10 results
User ID 71d0d37706f5407fbc235409639910fe	score 8.520354464255643
User ID d2172296954d41369ac4e563f379cdc6	score 8.347003027846418
User ID b3bc740ed50849f1bb58afc0860106d4	score 8.138905750804627
User ID 35b40b1bcefd4d9e86e11a97603a84e5	score 7.448911431585202
User ID 8f44237ddad84f2184cfe4182fbf1105	score 7.18320281623758
User ID aa53710fec054a8fb2e6eab6c605c571	score 7.148461193384486
User ID dd3fe8a029dd49e9b59ae3f5f57198bc	score 7.113558596644194
User ID 690e7e01008b472d839fb2ceb1823860	score 6.98387685104416
User ID b1e7bc0aaf204a498954922e51bbd95e	score 6.971364827257013
User ID 3a3c6bcaffbc4d70a7166fc8091cc6c7	score 6.731867710751966

Item ID college top-10 results
User ID 71d0d37706f5407fbc235409639910fe	score 8.522183260872625
User ID 35b40b1bcefd4d9e86e11a97603a84e5	score 7.478932613775601
User ID b1e7bc0aaf204a498954922e51bbd95e	score 6.998809632714101
User ID 87b78a895bfa4b099b816c42babbffaa	score 6.7591868791099765
User ID 3a3c6bcaffbc4d70a7166fc8091cc6c7	score 6.735713697917523
User ID 57a2e98e3b324c19aca1db63ee607c2a	score 6.597431550944012
User ID 4dd5601d3d36403a8bf9d125207fbc6b	score 6.529450176115906
User ID 29e16b94e8a441308b6fe5e6e5682a77	score 6.471136131941556
User ID a5a46cdc1fe04d3c9a6677e7f09b319d	score 6.2770067531596965
User ID 87c3a9df81054cae888283ac313aeb76	score 6.264681350597445

Item ID medicine top-10 results
User ID d2172296954d41369ac4e563f379cdc6	score 8.3188902896375
User ID b3bc740ed50849f1bb58afc0860106d4	score 7.946583792595199
User ID d8676c764b0f4f4fab4f2df45b950daf	score 7.566181488103157
User ID 35b40b1bcefd4d9e86e11a97603a84e5	score 7.435213336971222
User ID 0eefd053f1a34cf3a6bb8e7180c19ae3	score 7.215249100780544
User ID de99f2c4d1314fc88bd2f972c6b8edfa	score 7.207863691045979
User ID b1e7bc0aaf204a498954922e51bbd95e	score 7.081921384178752
User ID 690e7e01008b472d839fb2ceb1823860	score 7.074953798599386
User ID eb2b5b36876b4658b302e345eb25c356	score 7.071206759629665
User ID 8f44237ddad84f2184cfe4182fbf1105	score 6.99096872550925

Item ID teaching top-10 results
User ID 71d0d37706f5407fbc235409639910fe	score 8.469894208087906
User ID d2172296954d41369ac4e563f379cdc6	score 8.341524363603332
User ID b3bc740ed50849f1bb58afc0860106d4	score 8.016758180262952
User ID d8676c764b0f4f4fab4f2df45b950daf	score 7.496001546039762
User ID aa53710fec054a8fb2e6eab6c605c571	score 7.2268363395759785
User ID de99f2c4d1314fc88bd2f972c6b8edfa	score 7.201409287008561
User ID 0eefd053f1a34cf3a6bb8e7180c19ae3	score 7.166899689556759
User ID 690e7e01008b472d839fb2ceb1823860	score 7.053932035184685
User ID eb2b5b36876b4658b302e345eb25c356	score 7.031940456672739
User ID 66bfdf34354348d59bbe92aff28ca385	score 6.982951448544355

