user,item,rating
00841114821f45efa17236dd882f96d0,career-counseling,1
00841114821f45efa17236dd882f96d0,college,1
00841114821f45efa17236dd882f96d0,art,2
00841114821f45efa17236dd882f96d0,career,1
0088fbc76ac54f059427b8d84827399b,engineering,5
0088fbc76ac54f059427b8d84827399b,engineer,2
0088fbc76ac54f059427b8d84827399b,career,5
0088fbc76ac54f059427b8d84827399b,college,1
0088fbc76ac54f059427b8d84827399b,human-resources,5
0088fbc76ac54f059427b8d84827399b,education,1
009844f2cde34195a54cafd001e5014a,doctor,1
009844f2cde34195a54cafd001e5014a,science,1
009844f2cde34195a54cafd001e5014a,medical,1
009844f2cde34195a54cafd001e5014a,hospital-and-health-care,1
00999e4be7594f09b697c2e5244a6e6b,nursing,1
00999e4be7594f09b697c2e5244a6e6b,teacher,1
00999e4be7594f09b697c2e5244a6e6b,doctor,2
00999e4be7594f09b697c2e5244a6e6b,finance,1
00d4d26611b449d29019a559c878b66e,tech,5
00d4d26611b449d29019a559c878b66e,biology,5
00d4d26611b449d29019a559c878b66e,technology,5
00d4d26611b449d29019a559c878b66e,science,5
00f700a700884324ab0c58bffe18cbd2,higher-education,1
00f700a700884324ab0c58bffe18cbd2,medicine,6
00f700a700884324ab0c58bffe18cbd2,hospital-and-health-care,6
00f700a700884324ab0c58bffe18cbd2,doctor,6
00fa258f92094b6f9194dbf6311fa1bb,college-major,1
00fa258f92094b6f9194dbf6311fa1bb,psychology,1
00fa258f92094b6f9194dbf6311fa1bb,business,1
00fa258f92094b6f9194dbf6311fa1bb,college,1
014b8d9c08524caba10c4eb920a79f7f,medicine,2
014b8d9c08524caba10c4eb920a79f7f,hospital-and-health-care,2
014b8d9c08524caba10c4eb920a79f7f,biology,1
014b8d9c08524caba10c4eb920a79f7f,healthcare,2
0152cff617664055944d475bfcde8b95,teacher,4
0152cff617664055944d475bfcde8b95,teaching,1
0152cff617664055944d475bfcde8b95,career-choice,2
0152cff617664055944d475bfcde8b95,research,1
0152cff617664055944d475bfcde8b95,career,1
018adaf633db4ce2b9891fdb630e3ff7,science,5
018adaf633db4ce2b9891fdb630e3ff7,medical,1
018adaf633db4ce2b9891fdb630e3ff7,doctor,7
018adaf633db4ce2b9891fdb630e3ff7,medicine,1
018adaf633db4ce2b9891fdb630e3ff7,healthcare,1
018adaf633db4ce2b9891fdb630e3ff7,hospital-and-health-care,1
01928d981520434298ef1eaff86641f0,college-advice,1
01928d981520434298ef1eaff86641f0,hospital-and-health-care,2
01928d981520434298ef1eaff86641f0,medicine,1
01928d981520434298ef1eaff86641f0,healthcare,1
01928d981520434298ef1eaff86641f0,nursing,1
0205c61b31ad43e1b6c5a833b5667e49,career,1
0205c61b31ad43e1b6c5a833b5667e49,finance,1
0205c61b31ad43e1b6c5a833b5667e49,college,2
0205c61b31ad43e1b6c5a833b5667e49,college-advice,2
022464f6649442f6a5daba1fceba79c2,science,5
022464f6649442f6a5daba1fceba79c2,biology,5
022464f6649442f6a5daba1fceba79c2,technology,5
022464f6649442f6a5daba1fceba79c2,tech,5
02b826f22f164a389bbbf6dc04c25e27,medicine,1
02b826f22f164a389bbbf6dc04c25e27,nursing,1
02b826f22f164a389bbbf6dc04c25e27,hospital-and-health-care,1
02b826f22f164a389bbbf6dc04c25e27,healthcare,1
02d26f461517482da1da0d96d40c57bb,career,1
02d26f461517482da1da0d96d40c57bb,college,5
02d26f461517482da1da0d96d40c57bb,teacher,5
02d26f461517482da1da0d96d40c57bb,education,5
02ef61a4ea3d4f70bf645af0d2fb8f55,internships,5
02ef61a4ea3d4f70bf645af0d2fb8f55,career,1
02ef61a4ea3d4f70bf645af0d2fb8f55,college-major,1
02ef61a4ea3d4f70bf645af0d2fb8f55,career-counseling,1
02ef61a4ea3d4f70bf645af0d2fb8f55,college,1
0328a2a8ad68444385c3d06ea55e8ddf,internships,5
0328a2a8ad68444385c3d06ea55e8ddf,marketing,1
0328a2a8ad68444385c3d06ea55e8ddf,technology,1
0328a2a8ad68444385c3d06ea55e8ddf,computer-science,6
035aeb37c05e4c6abc8617935c97e964,college,1
035aeb37c05e4c6abc8617935c97e964,teacher,1
035aeb37c05e4c6abc8617935c97e964,higher-education,1
035aeb37c05e4c6abc8617935c97e964,science,1
04074ee3592841aba4d7c3a9a8e42478,technology,1
04074ee3592841aba4d7c3a9a8e42478,business,1
04074ee3592841aba4d7c3a9a8e42478,engineering,1
04074ee3592841aba4d7c3a9a8e42478,engineer,1
040bc1cd485040e5b9480a8e44e6acff,education,6
040bc1cd485040e5b9480a8e44e6acff,career,1
040bc1cd485040e5b9480a8e44e6acff,engineer,1
040bc1cd485040e5b9480a8e44e6acff,biology,6
040bc1cd485040e5b9480a8e44e6acff,engineering,1
040bc1cd485040e5b9480a8e44e6acff,design,5
