id,pro_mentor,age,have_introduction,have_field,num_of_answers,avg_of_answer_score,avg_of_answer_body,num_of_groups,avg_of_group_members,num_of_emails,num_of_tags
00009a0f9bda43eba47104e9ac62aff5,0,33294,1,1,3,0.0000,1267.0000,0,0.0000,14,3
000196ef8db54b9a86ae70ad31745d04,0,14283,1,1,0,0.0000,0.0000,0,0.0000,42,1
0008138be908438e8944b21f7f57f2c1,0,10121,1,1,0,0.0000,0.0000,0,0.0000,0,1
000d4635e5da41e3bfd83677ee11dda4,1,32239,1,1,3,0.0000,285.6667,0,0.0000,945,3
000e2b5714444d79a672bf927905135c,0,19485,1,1,0,0.0000,0.0000,0,0.0000,3,1
0018873fbf7742aba1bf13fff12cbfa4,0,14067,1,1,0,0.0000,0.0000,0,0.0000,10,1
00211ce6a146458b849283adf31ffc13,0,12096,1,1,0,0.0000,0.0000,0,0.0000,0,3
00270bae68ee49eba99cb63a2942b5cd,0,51366,1,1,0,0.0000,0.0000,0,0.0000,180,16
00271cc10e0245fba4a35e76e669c281,0,11407,1,1,24,0.0000,508.4167,0,0.0000,19,1
002d8cabcc74427cae05751c1fa8609a,0,31917,1,1,0,0.0000,0.0000,0,0.0000,5,1
002f7ee0dd1946f79714441c76684691,0,40679,1,0,0,0.0000,0.0000,0,0.0000,211,1
002fdedc782f404daa3bb75e42430982,0,31968,1,1,0,0.0000,0.0000,0,0.0000,20,1
0030069ff7ec43d19305bf410783768b,0,28662,1,1,0,0.0000,0.0000,0,0.0000,24,6
00344a57348b4fbbadba9e919672b49d,0,34477,1,1,0,0.0000,0.0000,0,0.0000,39,1
0035e45e1f914bc9aa273b2ad9daa9c4,0,14381,1,1,0,0.0000,0.0000,0,0.0000,45,1
00375a2ea44344e38c4cb78c7a45dc4f,0,28350,1,1,0,0.0000,0.0000,0,0.0000,131,3
003b004e59194b459561e2ff36607a18,0,17999,1,1,0,0.0000,0.0000,0,0.0000,106,4
003b9a29c12c4d9da5462635713d1bd9,0,8839,1,1,0,0.0000,0.0000,0,0.0000,0,1
